parcelid	land use	zoning	assessed total	appraised total
02160001700	Commercial  	I. Central Business District	$0.00	$0.00
03860001150	vacant residential lot  	D. Multiple Family Residential	$1,900.00	$10,000.00
04660303800	two family unit  	D. Multiple Family Residential	$16,510.00	$86,900.00
04820900350	single family units  	B. Two Family Residential	$57,320.00	$301,700.00
06200001800	vacant residential lot  	G. Local Commercial and Office	$150.00	$800.00
03450001000	Commercial  	J. Industrial	$600.00	$1,900.00
06610300260	Commercial  	K. Unrestricted	$28,100.00	$87,800.00
02180000700	Commercial  	I. Central Business District	$0.00	$0.00
01470001050	Commercial  	I. Central Business District	$15,300.00	$47,800.00
06581301500	Commercial  	J. Industrial	$25,500.00	$79,700.00
04430000250	Commercial  	K. Unrestricted	$75,300.00	$235,300.00
06390001300	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
01470000720	Commercial  		$4,100.00	$12,800.00
04800000300	Commercial  	D. Multiple Family Residential	$143,700.00	$449,100.00
02850000500	Commercial  	K. Unrestricted	$20,500.00	$64,100.00
02630000250	multi-family residential  	D. Multiple Family Residential	$267,420.00	$1,407,500.00
04170000450	Commercial  	I. Central Business District	$368,100.00	$1,150,300.00
06150000400	Commercial  	J. Industrial	$1,800.00	$5,600.00
04320000250	Commercial  	K. Unrestricted	$52,200.00	$163,100.00
01610000200	Commercial  	I. Central Business District	$11,400.00	$35,600.00
04660301550	single family units  	D. Multiple Family Residential	$32,410.00	$170,600.00
06850000250	Commercial  	G. Local Commercial and Office	$256,000.00	$800,000.00
04830401900	two family unit  	B. Two Family Residential	$47,180.00	$248,300.00
06630000500	Commercial  	G. Local Commercial and Office	$6,100.00	$19,100.00
01780000900				
00710300900	Commercial  	K. Unrestricted	$16,000.00	$50,000.00
06340001750	single family units  	F. Neighborhood Commercial	$16,300.00	$85,800.00
03340001000	Commercial  	K. Unrestricted	$900.00	$2,800.00
05380000700	Commercial  	J. Industrial	$5,800.00	$18,100.00
06240002000	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
04030002650	single family units  	D. Multiple Family Residential	$47,940.00	$252,300.00
04190000320	Commercial  	I. Central Business District	$805,500.00	$2,517,200.00
03690000700	Commercial  	G. Local Commercial and Office	$163,800.00	$511,900.00
07810001700	single family units  	D. Multiple Family Residential	$52,630.00	$277,000.00
06430001200	vacant residential lot  	D. Multiple Family Residential	$420.00	$2,200.00
04410001250	Commercial  	J. Industrial	$165,800.00	$518,100.00
06660001400	two family unit  	D. Multiple Family Residential	$38,950.00	$205,000.00
00410001500	Commercial  	L. Jefferson Memorial District	$4,200.00	$13,100.00
06350001300	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04630300450	Commercial  	I. Central Business District	$44,200.00	$138,100.00
03310000100	Commercial  	K. Unrestricted	$1,100.00	$3,400.00
06620000150	Commercial  	D. Multiple Family Residential	$231,000.00	$721,900.00
06840000600	two family unit  	D. Multiple Family Residential	$37,830.00	$199,100.00
04670301100	single family units  	D. Multiple Family Residential	$37,700.00	$198,400.00
05950000800	single family units  	C. Multiple Family Residential	$590.00	$3,100.00
04180001000	Commercial  	I. Central Business District	$100,500.00	$314,100.00
04830304000	vacant residential lot  	D. Multiple Family Residential	$1,620.00	$8,500.00
05600000100	Commercial  	D. Multiple Family Residential	$28,300.00	$88,400.00
00860000100				
02620000600	single family units  	D. Multiple Family Residential	$9,290.00	$48,900.00
03520000100	Commercial  		$0.00	$0.00
04030000100	Commercial  	D. Multiple Family Residential	$14,700.00	$45,900.00
06390001900	vacant residential lot  	D. Multiple Family Residential	$400.00	$2,100.00
05030000100	Commercial  	I. Central Business District	$50,500.00	$157,800.00
06200001200	two family unit  	D. Multiple Family Residential	$360.00	$1,900.00
04090000450	vacant residential lot  	D. Multiple Family Residential	$270.00	$1,400.00
03950001500	single family units  	D. Multiple Family Residential	$81,230.00	$427,500.00
04660303200	single family units  	D. Multiple Family Residential	$27,110.00	$142,700.00
01090000300	Commercial  		$48,200.00	$150,600.00
03460002300	vacant residential lot  	J. Industrial	$150.00	$800.00
05970001200	Commercial  	G. Local Commercial and Office	$2,000.00	$6,300.00
03350400110	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
04750001770	single family units  	A. Single Family Residential	$31,840.00	$167,600.00
04850001800	single family units  	B. Two Family Residential	$48,220.00	$253,800.00
00980000100				
07780001400	vacant residential lot  	D. Multiple Family Residential	$2,770.00	$14,600.00
01740000300	Commercial  	I. Central Business District	$13,200.00	$41,300.00
00270000400	Commercial  		$0.00	$0.00
01510000500	Commercial  	I. Central Business District	$10,500.00	$32,800.00
06000000500	Commercial  	J. Industrial	$7,700.00	$24,100.00
07040000720	Commercial  	J. Industrial	$41,900.00	$130,900.00
05200301350				
00740000300	Commercial  	L. Jefferson Memorial District	$18,500.00	$57,800.00
07800003400	four family unit  	D. Multiple Family Residential	$35,260.00	$185,600.00
01290001400	Commercial  	I. Central Business District	$1,200,000.00	$3,750,000.00
06660001000	single family units  	G. Local Commercial and Office	$39,180.00	$206,200.00
00410001100	Commercial  	L. Jefferson Memorial District	$10,900.00	$34,100.00
05560400300	Commercial  		$49,700.00	$155,300.00
06430001600	vacant residential lot  	D. Multiple Family Residential	$290.00	$1,500.00
02060600400	Commercial  	I. Central Business District	$0.00	$0.00
03470000400	vacant residential lot  	J. Industrial	$130.00	$700.00
05600000500	Commercial  	D. Multiple Family Residential	$7,000.00	$21,900.00
03140000300	Commercial  	K. Unrestricted	$43,800.00	$136,900.00
02620000200	Commercial  	D. Multiple Family Residential	$14,800.00	$46,300.00
04820901640	vacant residential lot  	B. Two Family Residential	$7,490.00	$39,400.00
04830301340				
03310000500	Commercial  	K. Unrestricted	$6,400.00	$20,000.00
04860000250	Commercial  	J. Industrial	$221,900.00	$693,400.00
06620000550				
05160000400	Commercial  	I. Central Business District	$82,700.00	$258,400.00
06840000200	four family unit  	D. Multiple Family Residential	$31,940.00	$168,100.00
03620000200	Commercial  	D. Multiple Family Residential	$14,500.00	$45,300.00
04830304400	vacant residential lot  	D. Multiple Family Residential	$1,540.00	$8,100.00
03840000550	single family units  	D. Multiple Family Residential	$25,610.00	$134,800.00
00460000110	Commercial  	K. Unrestricted	$203,900.00	$637,200.00
03850000100	single family units  	D. Multiple Family Residential	$54,000.00	$284,200.00
06630000100	Commercial  	G. Local Commercial and Office	$5,700.00	$17,800.00
02850000100	Commercial  	K. Unrestricted	$203,400.00	$635,600.00
05570000900	Commercial  	I. Central Business District	$8,000.00	$25,000.00
07810001300	single family units  	D. Multiple Family Residential	$43,740.00	$230,200.00
03690000300	Commercial  	G. Local Commercial and Office	$125,400.00	$391,900.00
07690000450	Commercial  	K. Unrestricted	$87,500.00	$273,400.00
03590000860	vacant residential lot  	D. Multiple Family Residential	$130.00	$700.00
06810001300				
05380000300	Commercial  	J. Industrial	$41,600.00	$130,000.00
05980000250	Commercial  	J. Industrial	$2,700.00	$8,400.00
03590000400	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
04080000400	vacant residential lot  	D. Multiple Family Residential	$1,250.00	$6,600.00
03720001200	vacant residential lot  	D. Multiple Family Residential	$2,280.00	$12,000.00
04980000250				
01510000100	Commercial  	I. Central Business District	$41,400.00	$129,400.00
06000000100	Commercial  	J. Industrial	$56,200.00	$175,600.00
07800003000	single family units  	D. Multiple Family Residential	$46,130.00	$242,800.00
00740000700	Commercial  	L. Jefferson Memorial District	$14,600.00	$45,600.00
01290001000	Commercial  	I. Central Business District	$99,300.00	$310,300.00
00510000100	Commercial  		$2,000.00	$6,300.00
01740000700	Commercial  	I. Central Business District	$48,100.00	$150,300.00
04260000300	Commercial  	I. Central Business District	$31,400.00	$98,100.00
03080300200	Commercial  	K. Unrestricted	$400.00	$1,300.00
03750000210	Commercial  	J. Industrial	$156,800.00	$490,000.00
05030000500	Commercial  	I. Central Business District	$227,100.00	$709,700.00
05520000310	Commercial  	D. Multiple Family Residential	$6,400.00	$20,000.00
00010000340	Commercial  		$4,000.00	$12,500.00
04750000400	Commercial  	E. Multiple Family Residential	$43,200.00	$135,000.00
06190600700	vacant residential lot  	C. Multiple Family Residential	$400.00	$2,100.00
04030000500	vacant residential lot  	D. Multiple Family Residential	$3,330.00	$17,500.00
04840001850	Commercial  	F. Neighborhood Commercial	$22,100.00	$69,100.00
05970001600	Commercial  	G. Local Commercial and Office	$1,300.00	$4,100.00
06200001600	vacant residential lot  	G. Local Commercial and Office	$210.00	$1,100.00
03950001100	multi-building residential  	D. Multiple Family Residential	$29,390.00	$154,700.00
04660303600	single family units  	D. Multiple Family Residential	$30,210.00	$159,000.00
01610002150	Commercial  	I. Central Business District	$45,600.00	$142,500.00
06810001900	single family units  	D. Multiple Family Residential	$23,920.00	$125,900.00
06820002000	multi-building residential  	D. Multiple Family Residential	$34,540.00	$181,800.00
07810001900	two family unit  	D. Multiple Family Residential	$31,120.00	$163,800.00
03690000900	Commercial  	G. Local Commercial and Office	$10,800.00	$33,800.00
02110400120	Commercial  	I. Central Business District	$0.00	$0.00
03640002000	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04210000200	Commercial  	J. Industrial, K. Unrestricted	$5,065,500.00	$15,829,700.00
01940000500				
04830302500	vacant residential lot  	D. Multiple Family Residential	$1,810.00	$9,500.00
04650302250	single family units  	D. Multiple Family Residential	$28,610.00	$150,600.00
03230000500	Commercial  	J. Industrial	$20,700.00	$64,700.00
05210000200	Commercial  	I. Central Business District	$43,700.00	$136,600.00
02700000200	Commercial  	J. Industrial	$7,800.00	$24,400.00
04830401700	single family units  	B. Two Family Residential	$34,310.00	$180,600.00
04820902000				
04040000400	four family unit  	D. Multiple Family Residential	$26,200.00	$137,900.00
04310500400	Commercial  	J. Industrial	$85,300.00	$266,600.00
05730000150	Commercial  	J. Industrial	$114,400.00	$357,500.00
06840000800				
04640401400	single family units  	D. Multiple Family Residential	$40,050.00	$210,800.00
00950000150	Commercial  	L. Jefferson Memorial District	$896,000.00	$2,800,000.00
06710000100				
02620000800	single family units  	D. Multiple Family Residential	$10,300.00	$54,200.00
06280001420	Commercial  	F. Neighborhood Commercial	$345,900.00	$1,080,900.00
06220000600	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04480002000	Commercial  	J. Industrial	$7,500.00	$23,400.00
03710000650	Commercial  	G. Local Commercial and Office	$110,000.00	$343,800.00
03830002300	four family unit  	D. Multiple Family Residential	$37,660.00	$198,200.00
04440600050	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
02280000400	Commercial  	K. Unrestricted	$9,000.00	$28,100.00
04750001510	single family units  	A. Single Family Residential	$29,890.00	$157,300.00
03450001400	Commercial  	J. Industrial	$1,100.00	$3,400.00
02180000300	Commercial  	I. Central Business District	$0.00	$0.00
03600001200	vacant residential lot  	D. Multiple Family Residential	$360.00	$1,900.00
06330001250				
01840001500	Commercial  	I. Central Business District	$12,480,000.00	$39,000,000.00
03180000300	Commercial  	K. Unrestricted	$67,200.00	$210,000.00
07120000100	Commercial  	K. Unrestricted	$86,400.00	$270,000.00
00430000100	Commercial  	L. Jefferson Memorial District	$147,400.00	$460,600.00
06120000100	Commercial  	J. Industrial	$4,200.00	$13,100.00
06390001700	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
01430000100	Commercial  		$68,200.00	$213,100.00
01310000220	Commercial  	I. Central Business District	$91,700.00	$286,600.00
05670000400	Commercial  	D. Multiple Family Residential	$67,200.00	$210,000.00
03400000500	Commercial  	J. Industrial	$2,300.00	$7,200.00
03380001400	vacant residential lot  	J. Industrial	$210.00	$1,100.00
04420000200	Commercial  	J. Industrial	$66,700.00	$208,400.00
03130000200	Commercial  	K. Unrestricted	$20,500.00	$64,100.00
02340000510	Commercial  	K. Unrestricted	$176,300.00	$550,900.00
05110000500	Commercial  	I. Central Business District	$0.00	$0.00
03650000300	two family unit  	J. Industrial	$1,030.00	$5,400.00
03960000930	Commercial  	X. Not Zoned	$109,800.00	$343,100.00
02610000120	multi-family residential  	D. Multiple Family Residential	$521,550.00	$2,745,000.00
02890000100	Commercial  	K. Unrestricted	$27,800.00	$86,900.00
04850001600	single family units  	B. Two Family Residential	$64,770.00	$340,900.00
04640300150	Commercial  	D. Multiple Family Residential	$227,200.00	$710,000.00
06320001600	vacant residential lot  	D. Multiple Family Residential	$80.00	$400.00
02370080300	 	K. Unrestricted		
03990600380	multi-family residential  	D. Multiple Family Residential	$23,860.00	$125,600.00
06170001000	Commercial  	G. Local Commercial and Office	$1,400.00	$4,400.00
03890000100	single family units  	D. Multiple Family Residential	$85,500.00	$450,000.00
03720001800	Commercial  	D. Multiple Family Residential	$5,800.00	$18,100.00
03460000200	vacant residential lot  	J. Industrial	$130.00	$700.00
02300000300	Commercial  	K. Unrestricted	$111,800.00	$349,400.00
03990600320	single family units  	D. Multiple Family Residential	$21,030.00	$110,700.00
04060500050	vacant residential lot  		$47,030.00	$247,500.00
04320000400	Commercial  	K. Unrestricted	$22,000.00	$68,800.00
02340000120	Commercial  	K. Unrestricted	$6,800.00	$21,300.00
03300000300	Commercial  	K. Unrestricted	$400.00	$1,300.00
04650401800	Commercial  	D. Multiple Family Residential	$5,100.00	$15,900.00
